year,decade,month,month_name,state,species,activity,body_part,injury,provoked,gender,time_block,time_order,latitude,longitude
1791,1790s,1,Jan,New South Wales,White Shark,Swimming,Torso,Fatal,Unprovoked,Female,,99,-33.86,151.2
1803,1800s,3,Mar,Western Australia,Tiger Shark,Swimming,,Non-Fatal,Unprovoked,Male,,99,-25.8826,113.9226
1807,1800s,1,Jan,New South Wales,Bull Shark,Swimming,Arm/Hand,Non-Fatal,Unprovoked,Male,,99,-33.8661,151.201
1820,1820s,1,Jan,Tasmania,,Swimming,Leg/Foot,Fatal,Provoked,Male,,99,-42.8025,147.4868
1825,1820s,1,Jan,New South Wales,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-33.8527,151.2188
1830,1830s,1,Jan,Tasmania,White Shark,Swimming,Arm/Hand,Non-Fatal,Unprovoked,Female,,99,-43.3457,147.3228
1832,1830s,1,Jan,New South Wales,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Provoked,Male,,99,-33.8732,151.1867
1832,1830s,6,Jun,New South Wales,White Shark,Fishing,Leg/Foot,Non-Fatal,Provoked,Female,,99,-33.8329,151.2797
1836,1830s,1,Jan,South Australia,White Shark,Swimming,,Non-Fatal,Unprovoked,Male,,99,-34.9996,138.5098
1836,1830s,8,Aug,Queensland,Whaler Shark,Swimming,Other,Fatal,Unprovoked,Male,,99,-25.7989,153.0476
1836,1830s,8,Aug,Queensland,Whaler Shark,Swimming,Other,Fatal,Unprovoked,Male,,99,-25.7989,153.0476
1837,1830s,1,Jan,New South Wales,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,,99,-31.0088,152.7122
1839,1830s,8,Aug,Victoria,White Shark,Swimming,Leg/Foot,Fatal,Provoked,Male,,99,-39.0185,146.4375
1840,1840s,12,Dec,New South Wales,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,,99,-33.8613,151.2266
1841,1840s,4,Apr,New South Wales,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,,99,-33.846,151.1719
1847,1840s,3,Mar,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-27.25,153.25
1847,1840s,11,Nov,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-27.4454,153.0847
1849,1840s,1,Jan,Western Australia,White Shark,Swimming,,Fatal,Provoked,Male,,99,-33.5929,115.1035
1849,1840s,12,Dec,Victoria,White Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-38.3464,141.6111
1849,1840s,12,Dec,New South Wales,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,,99,-33.8613,151.2266
1850,1850s,1,Jan,Queensland,Tiger Shark,Swimming,Other,Fatal,Unprovoked,Male,,99,-27.2833,153.2167
1850,1850s,3,Mar,New South Wales,Whaler Shark,Swimming,,Non-Fatal,Unprovoked,Male,,99,-29.4216,153.3654
1853,1850s,11,Nov,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Provoked,Male,,99,-33.85,151.22
1855,1850s,1,Jan,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Female,,99,-25.4925,152.8189
1855,1850s,1,Jan,New South Wales,Bull Shark,Swimming,,Uninjured,Unprovoked,Male,,99,-33.8613,151.2266
1855,1850s,7,Jul,Queensland,Tiger Shark,Swimming,Torso,Fatal,Unprovoked,Male,,99,-10.5545,142.2197
1855,1850s,11,Nov,New South Wales,Bull Shark,Swimming,Leg/Foot,Fatal,Unprovoked,Male,,99,-33.8567,151.2001
